Date,Time,Subsystem,Error Code,Error Text,Recovery Class,Major Function,Minor Function,Recommended Action,Root Cause,Times,Debug Text,Source File,
2019/09/09,14:51:40:781,DL ,2800005, DL blackens image when reset line becomes active,AR, XRSubSysMgrDL, control, Operator_reset,0,0,(null),XRSubsysMgrDLImpl.cxx,351,
2019/09/09,14:27:20:371,RTA,410011, CLEAR,WR, XRAppDir, control, FLUORO_UPS,0,0, (null),XRAppDir,212,
2019/09/09,14:27:01:045,RTA,410011,"ALARM (!! , 2.15) - Load on Inverter (OFF)",WR, XRAppDir, control, FLUORO_UPS,0,0, Battery loading,XRPAtlasLogger.cpp,114,
2019/09/09,14:26:51:281,DL ,2810004, Unexpected shutdown requested,DO, XRSubSysMgrDL, control, ONOFF_MODULE_FAILURE,0,0, restart status,XRSubsysMgrDLImpl.cxx,1862,
2019/09/09,14:26:51:110,POS,1050173, CLEAR,DO, GantryCPU, 0, Frt_INVALID_CMD,0,0, (null),XRImChainPosFront,212,
2019/09/09,14:26:51:109,POS,1050173, ARCNET INVALID CMD,DO, GantryCPU, 0, Frt_INVALID_CMD,0,0, - RECEIVED COMMAND FAILURE (T:0x0x4A00 H:9a U:0), Frontal Unknown Command.,Frontal_atlas_cmd_interpreter.c,1396,
2019/09/09,14:26:51:109,POS,1050748, CLEAR,DO, PosUserInterface, 0, Frt_ERR_REPEATABILITY,0,0, (null),XRImChainPosFront,212,
2019/09/09,14:26:51:108,POS,1050168, CLEAR,DO, GantryAxis, 0, Frt_II_BUMP,0,0, (null),XRImChainPosFront,212,
2019/09/09,14:26:51:106,POS,1050148, CLEAR,DO, PosUserInterface, 0, Frt_ERR_MISCELLANEOUS,0,0, (null),XRImChainPosFront,212,
2019/09/09,14:26:50:866,POS,1050613, CLEAR,WR, PositionerPower, Speed Degraded, Frt_Component(s)_Positioner_Martek,0,0, (null),XRImChainPosFront,212,
2019/09/09,14:26:50:856,POS,1050613, PIB 180V MONITORING,WR, PositionerPower, Speed Degraded, Frt_Component(s)_Positioner_Martek,0,0,  - MPDU: 180V outside limits,poslayer.c,1137,
2019/09/09,14:26:50:847,POS,1050748, ERR REPEATABILITY,DO, PosUserInterface, 0, Frt_ERR_REPEATABILITY,0,0, - Repeatability issue on Plane Index=0xfc0,axis Id=9 name=TBL_LONG,Motion=889 mm or 1/10deg,motionMonitoring.c,550,
2019/09/09,14:26:50:836,POS,1050167, CLEAR,DO, GantryAxis, Motion stopped, Frt_2ND_LEVEL_BUMP,0,0, (null),XRImChainPosFront,212,
2019/09/09,14:26:50:826,POS,1050167, Front: FRT 2ND LEVEL BUMP,DO, GantryAxis, Motion stopped, Frt_2ND_LEVEL_BUMP,0,0,  - FRONTAL COLLISION SENSOR ACTIVATED. CLEAR AND TRY AGAIN (4AE6).,saf_safetytask.c,2069,
2019/09/09,14:26:50:816,POS,1050697, EMERGENCY BACKOUT POWER FAILURE,DO, Positioner Power, 0, Frt_Backout_power_or_cables,0,0,  - Emergency Backout Power Failure,poslayer.c,1073,
2019/09/09,14:26:50:806,POS,1050168, Front: FRT Detector BUMP,DO, GantryAxis, 0, Frt_II_BUMP,0,0,  - FRONTAL DETECTOR COLLISION (T:0x4A12 H:0x8 U:0x0000).,saf_safetytask.c,2206,
2019/09/09,14:26:50:796,POS,1050148, ERR MISCELLANEOUS,DO, PosUserInterface, 0, Frt_ERR_MISCELLANEOUS,0,0,   - ~The RACK is reset by task : SCHEDULER~~,lcmcchip.c,258,
2019/09/09,14:26:50:786,POS,1050148, ERR MISCELLANEOUS,DO, PosUserInterface, 0, Frt_ERR_MISCELLANEOUS,0,0,  - POS : CPU reset.,error_task.c,4011,
2019/09/09,14:26:50:782,POS,1050297, POS EVENT LOG,DO, 0, 0, Frt_Component(s)_Positioner_Event_logging,0,0, - Positioner CPU Boot Up (TT:2, ed3:0, tfd:1278 det:0.0.0),error_task.c,3997,
2019/09/09,14:25:58:691,RTA,1200114, Front: Boot Detector warning,DO, XRImDet, control, Frt_Detector_warning,0,0,[FPGA_Driver::update] Detector com error: CDetectorDipb::waitRxCommandDm RX read timeout (350 ms), RX IT never received, 0 RX Command read (last one is: 0 0) ,reportError.cpp,218,
2019/09/09,09:49:57:170,POS,1050173, CLEAR,DO, GantryCPU, 0, Frt_INVALID_CMD,0,0, (null),XRImChainPosFront,212,
2019/09/09,09:49:57:121,POS,1050173, ARCNET INVALID CMD,DO, GantryCPU, 0, Frt_INVALID_CMD,0,0, - RECEIVED COMMAND FAILURE (T:0x0x4A00 H:9a U:0), Frontal Unknown Command.,Frontal_atlas_cmd_interpreter.c,1396,
2019/09/09,09:49:57:114,POS,1050748, CLEAR,DO, PosUserInterface, 0, Frt_ERR_REPEATABILITY,0,0, (null),XRImChainPosFront,212,
2019/09/09,09:49:57:101,POS,1050168, CLEAR,DO, GantryAxis, 0, Frt_II_BUMP,0,0, (null),XRImChainPosFront,212,
2019/09/09,09:49:57:091,POS,1050148, CLEAR,DO, PosUserInterface, 0, Frt_ERR_MISCELLANEOUS,0,0, (null),XRImChainPosFront,212,
2019/09/09,09:49:57:081,POS,1050613, CLEAR,WR, PositionerPower, Speed Degraded, Frt_Component(s)_Positioner_Martek,0,0, (null),XRImChainPosFront,212,
2019/09/09,09:49:57:071,POS,1050613, PIB 180V MONITORING,WR, PositionerPower, Speed Degraded, Frt_Component(s)_Positioner_Martek,0,0,  - MPDU: 180V outside limits,poslayer.c,1137,
2019/09/09,09:49:57:061,POS,1050748, ERR REPEATABILITY,DO, PosUserInterface, 0, Frt_ERR_REPEATABILITY,0,0, - Repeatability issue on Plane Index=0xfc0,axis Id=9 name=TBL_LONG,Motion=890 mm or 1/10deg,motionMonitoring.c,550,
2019/09/09,09:49:57:051,POS,1050167, CLEAR,DO, GantryAxis, Motion stopped, Frt_2ND_LEVEL_BUMP,0,0, (null),XRImChainPosFront,212,
2019/09/09,09:49:57:041,POS,1050167, Front: FRT 2ND LEVEL BUMP,DO, GantryAxis, Motion stopped, Frt_2ND_LEVEL_BUMP,0,0,  - FRONTAL COLLISION SENSOR ACTIVATED. CLEAR AND TRY AGAIN (4AE6).,saf_safetytask.c,2069,
2019/09/09,09:49:57:031,POS,1050697, EMERGENCY BACKOUT POWER FAILURE,DO, Positioner Power, 0, Frt_Backout_power_or_cables,0,0,  - Emergency Backout Power Failure,poslayer.c,1073,
2019/09/09,09:49:57:021,POS,1050168, Front: FRT Detector BUMP,DO, GantryAxis, 0, Frt_II_BUMP,0,0,  - FRONTAL DETECTOR COLLISION (T:0x4A12 H:0x8 U:0x0000).,saf_safetytask.c,2206,
2019/09/09,09:49:57:011,POS,1050148, ERR MISCELLANEOUS,DO, PosUserInterface, 0, Frt_ERR_MISCELLANEOUS,0,0,   - ~The RACK is reset by task : SCHEDULER~~,lcmcchip.c,258,
2019/09/09,09:49:57:002,POS,1050148, ERR MISCELLANEOUS,DO, PosUserInterface, 0, Frt_ERR_MISCELLANEOUS,0,0,  - POS : CPU reset.,error_task.c,4011,
2019/09/09,09:49:56:998,POS,1050297, POS EVENT LOG,DO, 0, 0, Frt_Component(s)_Positioner_Event_logging,0,0, - Positioner CPU Boot Up (TT:2, ed3:0, tfd:1278 det:0.0.0),error_task.c,3997,
2019/09/09,06:37:49:304,RTA,3400037, User has requested shutdown or power failure has occured,IH, XRSysMgr, control, Operator_power_off,0,0, User has requested Shutdown.,XRPAtlasLogger.cpp,114,
2019/09/09,06:37:49:296,DL ,2810054, DL shutdown when PDU sends power off signal,AR, XRSubSysMgrDL, control, Operator,0,0,(null),Supervisor.cxx,1174,
2019/09/09,06:37:49:159,POS,1050748, ERR REPEATABILITY,DO, PosUserInterface, 0, Frt_ERR_REPEATABILITY,0,0,  - Repeatability is incremented : Reset on Table Plane,degraded_mode_task.c,2246,
2019/09/09,06:37:49:149,RTA,1000014, Front: SID lost,WR, XRImChainPos, control, Frt_Lift_AXIS_POT_ENCODER_FAILURE,0,0, SID out of range,XRPAtlasLogger.cpp,114,
2019/09/09,06:37:49:149,POS,1050748, ERR REPEATABILITY,DO, PosUserInterface, 0, Frt_ERR_REPEATABILITY,0,0,  - Repeatability is incremented : Reset on Frontal Plane,degraded_mode_task.c,2246,
2019/09/09,06:37:49:139,POS,1050297, POS EVENT LOG,DO, 0, 0, Frt_Component(s)_Positioner_Event_logging,0,0,  - Frontal/Lateral (ALL_RESET_LINE) rack has been resetted for a request from the table task,motion_control_task.c,6170,
2019/09/09,06:37:49:132,POS,1050278, CPU STEPPER BOARD SERIAL COM,DO, GantryAxis, Reset From Back Plane, Frt_Component(s)_Positioner_CPU_Table_Serial_communication,0,0,  - Stepping board Communication failure in runtime (Error TITAN 4AC1),table_geometry_task.c,1447,
2019/09/09,06:37:49:088,POS,1050171, VXWORKS ERR,DO, GantryCPU, 0, Frt_VXWORKS_ERR,0,0, - Reset Debug Step2: First char not received.Board #9, error counter 2 slot 0,lcsend.c,585,
2019/09/09,06:37:49:059,POS,1050171, VXWORKS ERR,DO, GantryCPU, 0, Frt_VXWORKS_ERR,0,0, - Reset Debug Step2: First char not received.Board #9, error counter 2 slot 3,lcsend.c,585,
2019/09/09,06:37:49:048,POS,1050273, PIB 48V MONITORING,WR, PositionerPower, Speed Degraded, Frt_Component(s)_Positioner_Martek,0,0,  - MPDU: 48V outside limits,poslayer.c,1111,
